,date,year,month,AverageTemperature,AverageTemperatureUncertainty,lat,long
1,1900-01-01,1900,1,-5.07 ,0.427,42.59,-72
2,1900-02-01,1900,2,-5.11 ,0.823,42.59,-72
3,1900-03-01,1900,3,-2.40 ,0.461,42.59,-72
4,1900-04-01,1900,4,6.59 ,0.369,42.59,-72
5,1900-05-01,1900,5,11.89 ,0.422,42.59,-72
6,1900-06-01,1900,6,18.91 ,0.446,42.59,-72
7,1900-07-01,1900,7,21.51 ,0.753,42.59,-72
8,1900-08-01,1900,8,20.46 ,0.436,42.59,-72
9,1900-09-01,1900,9,16.77 ,0.469,42.59,-72
10,1900-10-01,1900,10,11.56 ,0.479,42.59,-72
11,1900-11-01,1900,11,3.88 ,0.425,42.59,-72
12,1900-12-01,1900,12,-3.63 ,0.732,42.59,-72
13,1901-01-01,1901,1,-5.97 ,0.529,42.59,-72
14,1901-02-01,1901,2,-8.15 ,0.594,42.59,-72
15,1901-03-01,1901,3,-0.38 ,0.375,42.59,-72
16,1901-04-01,1901,4,6.51 ,0.745,42.59,-72
17,1901-05-01,1901,5,12.48 ,0.374,42.59,-72
18,1901-06-01,1901,6,19.09 ,0.433,42.59,-72
19,1901-07-01,1901,7,22.28 ,0.499,42.59,-72
20,1901-08-01,1901,8,20.45 ,0.387,42.59,-72
21,1901-09-01,1901,9,16.11 ,0.377,42.59,-72
22,1901-10-01,1901,10,9.21 ,0.47,42.59,-72
23,1901-11-01,1901,11,-0.27 ,0.388,42.59,-72
24,1901-12-01,1901,12,-3.89 ,0.484,42.59,-72
25,1902-01-01,1902,1,-6.59 ,0.793,42.59,-72
26,1902-02-01,1902,2,-5.07 ,0.488,42.59,-72
27,1902-03-01,1902,3,3.90 ,0.318,42.59,-72
28,1902-04-01,1902,4,7.20 ,0.386,42.59,-72
29,1902-05-01,1902,5,12.80 ,0.465,42.59,-72
30,1902-06-01,1902,6,16.63 ,0.374,42.59,-72
31,1902-07-01,1902,7,19.06 ,0.439,42.59,-72
32,1902-08-01,1902,8,18.05 ,0.342,42.59,-72
33,1902-09-01,1902,9,15.20 ,0.338,42.59,-72
34,1902-10-01,1902,10,9.13 ,0.354,42.59,-72
35,1902-11-01,1902,11,4.95 ,0.318,42.59,-72
36,1902-12-01,1902,12,-5.74 ,0.896,42.59,-72
37,1903-01-01,1903,1,-5.37 ,0.814,42.59,-72
38,1903-02-01,1903,2,-3.75 ,0.553,42.59,-72
39,1903-03-01,1903,3,4.89 ,0.632,42.59,-72
40,1903-04-01,1903,4,6.87 ,0.399,42.59,-72
41,1903-05-01,1903,5,14.30 ,0.288,42.59,-72
42,1903-06-01,1903,6,14.99 ,0.312,42.59,-72
43,1903-07-01,1903,7,20.13 ,0.463,42.59,-72
44,1903-08-01,1903,8,16.23 ,0.363,42.59,-72
45,1903-09-01,1903,9,15.69 ,0.331,42.59,-72
46,1903-10-01,1903,10,9.38 ,0.288,42.59,-72
47,1903-11-01,1903,11,0.94 ,0.361,42.59,-72
48,1903-12-01,1903,12,-6.12 ,0.651,42.59,-72
49,1/1/04,1904,1,-10.03 ,0.803,42.59,-72
50,2/1/04,1904,2,-8.92 ,0.564,42.59,-72
51,3/1/04,1904,3,-1.16 ,0.515,42.59,-72
52,4/1/04,1904,4,5.09 ,0.149,42.59,-72
53,5/1/04,1904,5,15.07 ,0.344,42.59,-72
54,6/1/04,1904,6,17.30 ,0.327,42.59,-72
55,7/1/04,1904,7,20.34 ,0.357,42.59,-72
56,8/1/04,1904,8,18.43 ,0.427,42.59,-72
57,9/1/04,1904,9,14.50 ,0.413,42.59,-72
58,10/1/04,1904,10,7.31 ,0.142,42.59,-72
59,11/1/04,1904,11,-0.12 ,0.345,42.59,-72
60,12/1/04,1904,12,-7.63 ,0.412,42.59,-72
61,1/1/05,1905,1,-7.88 ,0.561,42.59,-72
62,2/1/05,1905,2,-8.89 ,0.408,42.59,-72
63,3/1/05,1905,3,-0.51 ,0.349,42.59,-72
64,4/1/05,1905,4,6.50 ,0.346,42.59,-72
65,5/1/05,1905,5,13.10 ,0.361,42.59,-72
66,6/1/05,1905,6,17.16 ,0.383,42.59,-72
67,7/1/05,1905,7,21.13 ,0.359,42.59,-72
68,8/1/05,1905,8,18.26 ,0.292,42.59,-72
69,9/1/05,1905,9,14.58 ,0.246,42.59,-72
70,10/1/05,1905,10,9.00 ,0.273,42.59,-72
71,11/1/05,1905,11,1.68 ,0.352,42.59,-72
72,12/1/05,1905,12,-2.18 ,0.459,42.59,-72
73,1/1/06,1906,1,-1.93 ,0.619,42.59,-72
74,2/1/06,1906,2,-4.89 ,0.494,42.59,-72
75,3/1/06,1906,3,-2.94 ,0.291,42.59,-72
76,4/1/06,1906,4,6.43 ,0.271,42.59,-72
77,5/1/06,1906,5,13.02 ,0.417,42.59,-72
78,6/1/06,1906,6,17.98 ,0.44,42.59,-72
79,7/1/06,1906,7,20.59 ,0.338,42.59,-72
80,8/1/06,1906,8,20.97 ,0.189,42.59,-72
81,9/1/06,1906,9,16.50 ,0.285,42.59,-72
82,10/1/06,1906,10,9.10 ,0.262,42.59,-72
83,11/1/06,1906,11,2.21 ,0.185,42.59,-72
84,12/1/06,1906,12,-5.73 ,0.72,42.59,-72
85,1/1/07,1907,1,-6.63 ,0.393,42.59,-72
86,2/1/07,1907,2,-9.42 ,0.472,42.59,-72
87,3/1/07,1907,3,0.56 ,0.226,42.59,-72
88,4/1/07,1907,4,4.22 ,0.189,42.59,-72
89,5/1/07,1907,5,10.10 ,0.597,42.59,-72
90,6/1/07,1907,6,16.89 ,0.246,42.59,-72
91,7/1/07,1907,7,20.66 ,0.161,42.59,-72
92,8/1/07,1907,8,18.45 ,0.297,42.59,-72
93,9/1/07,1907,9,15.50 ,0.227,42.59,-72
94,10/1/07,1907,10,6.66 ,0.233,42.59,-72
