,year,season,temp
1,1900,Winter,-4.60 
2,1900,Spring,5.36 
3,1900,Summer,20.29 
4,1900,Autumn,10.73 
5,1901,Winter,-6.00 
6,1901,Spring,6.20 
7,1901,Summer,20.61 
8,1901,Autumn,8.35 
9,1902,Winter,-5.80 
10,1902,Spring,7.97 
11,1902,Summer,17.91 
12,1902,Autumn,9.76 
13,1903,Winter,-5.08 
14,1903,Spring,8.69 
15,1903,Summer,17.11 
16,1903,Autumn,8.67 
17,1904,Winter,-8.86 
18,1904,Spring,6.33 
19,1904,Summer,18.69 
20,1904,Autumn,7.23 
21,1905,Winter,-6.32 
22,1905,Spring,6.36 
23,1905,Summer,18.85 
24,1905,Autumn,8.42 
25,1906,Winter,-4.18 
26,1906,Spring,5.50 
27,1906,Summer,19.85 
28,1906,Autumn,9.27 
29,1907,Winter,-5.89 
30,1907,Spring,4.96 
31,1907,Summer,18.67 
32,1907,Autumn,8.19 
33,1908,Winter,-5.11 
34,1908,Spring,6.92 
35,1908,Summer,19.78 
36,1908,Autumn,9.80 
37,1909,Winter,-4.23 
38,1909,Spring,5.88 
39,1909,Summer,18.87 
40,1909,Autumn,9.17 
41,1910,Winter,-5.63 
42,1910,Spring,8.30 
43,1910,Summer,18.97 
44,1910,Autumn,8.85 
45,1911,Winter,-3.54 
46,1911,Spring,6.63 
47,1911,Summer,19.71 
48,1911,Autumn,8.12 
49,1912,Winter,-5.83 
50,1912,Spring,6.18 
51,1912,Summer,18.79 
52,1912,Autumn,9.50 
53,1913,Winter,-2.55 
54,1913,Spring,7.37 
55,1913,Summer,19.49 
56,1913,Autumn,9.98 
57,1914,Winter,-6.68 
58,1914,Spring,6.23 
59,1914,Summer,18.69 
60,1914,Autumn,9.32 
61,1915,Winter,-3.35 
62,1915,Spring,6.56 
63,1915,Summer,18.43 
64,1915,Autumn,10.27 
65,1916,Winter,-4.85 
66,1916,Spring,4.90 
67,1916,Summer,19.14 
68,1916,Autumn,9.00 
69,1917,Winter,-7.29 
70,1917,Spring,4.43 
71,1917,Summer,19.95 
72,1917,Autumn,7.06 
73,1918,Winter,-6.80 
74,1918,Spring,7.59 
75,1918,Summer,18.86 
76,1918,Autumn,9.05 
77,1919,Winter,-4.37 
78,1919,Spring,7.23 
79,1919,Summer,19.53 
80,1919,Autumn,9.20 
81,1920,Winter,-6.27 
82,1920,Spring,5.64 
83,1920,Summer,19.33 
84,1920,Autumn,9.94 
85,1921,Winter,-4.21 
86,1921,Spring,9.24 
87,1921,Summer,19.66 
88,1921,Autumn,9.38 
89,1922,Winter,-5.59 
90,1922,Spring,7.39 
91,1922,Summer,19.53 
92,1922,Autumn,9.51 
93,1923,Winter,-5.35 
94,1923,Spring,5.39 
95,1923,Summer,18.75 
96,1923,Autumn,9.50 
97,1924,Winter,-5.79 
98,1924,Spring,5.50 
99,1924,Summer,19.03 
100,1924,Autumn,8.75 
101,1925,Winter,-4.04 
102,1925,Spring,7.22 
103,1925,Summer,19.68 
