,year,temp
1,1900,14.62 
2,1901,14.03 
3,1902,14.05 
4,1903,13.74 
5,1904,13.83 
6,1905,13.86 
7,1906,14.27 
8,1907,14.06 
9,1908,14.30 
10,1909,14.08 
11,1910,14.35 
12,1911,14.44 
13,1912,13.56 
14,1913,14.30 
15,1914,14.18 
16,1915,14.08 
17,1916,13.89 
18,1917,13.43 
19,1918,14.25 
20,1919,14.18 
21,1920,13.76 
22,1921,15.16 
23,1922,14.46 
24,1923,14.16 
25,1924,13.74 
26,1925,14.53 
27,1926,14.25 
28,1927,14.56 
29,1928,14.31 
30,1929,14.11 
31,1930,14.40 
32,1931,15.14 
33,1932,14.43 
34,1933,14.79 
35,1934,15.15 
36,1935,14.26 
37,1936,14.62 
38,1937,14.31 
39,1938,14.93 
40,1939,14.97 
41,1940,14.18 
42,1941,14.67 
43,1942,14.36 
44,1943,14.47 
45,1944,14.32 
46,1945,14.36 
47,1946,14.85 
48,1947,14.41 
49,1948,14.25 
50,1949,14.68 
51,1950,14.43 
52,1951,14.32 
53,1952,14.60 
54,1953,15.03 
55,1954,15.03 
56,1955,14.44 
57,1956,14.62 
58,1957,14.65 
59,1958,14.39 
60,1959,14.87 
61,1960,14.26 
62,1961,14.40 
63,1962,14.29 
64,1963,14.31 
65,1964,14.34 
66,1965,14.35 
67,1966,14.25 
68,1967,14.32 
69,1968,14.19 
70,1969,14.27 
71,1970,14.40 
72,1971,14.36 
73,1972,14.31 
74,1973,14.64 
75,1974,14.58 
76,1975,14.36 
77,1976,14.16 
78,1977,14.69 
79,1978,14.15 
80,1979,14.13 
81,1980,14.61 
82,1981,14.85 
83,1982,14.30 
84,1983,14.48 
85,1984,14.70 
86,1985,14.41 
87,1986,15.07 
88,1987,14.88 
89,1988,14.66 
90,1989,14.45 
91,1990,15.31 
92,1991,15.09 
93,1992,14.73 
94,1993,14.44 
95,1994,14.80 
96,1995,14.89 
97,1996,14.72 
98,1997,14.79 
99,1998,15.45 
100,1999,15.26 
101,2000,15.03 
102,2001,15.23 
103,2002,15.20 
104,2003,15.03 
105,2004,15.04 
106,2005,15.22 
107,2006,15.56 
108,2007,15.26 
109,2008,14.92 
110,2009,14.87 
111,2010,14.95 
112,2011,15.17 
113,2012,16.03 
114,2013,15.70 
