,year,month,temp
1,1900,1,5.55 
2,1900,2,4.80 
3,1900,3,8.94 
4,1900,4,12.99 
5,1900,5,18.23 
6,1900,6,22.26 
7,1900,7,24.19 
8,1900,8,24.03 
9,1900,9,21.08 
10,1900,10,16.72 
11,1900,11,10.68 
12,1900,12,5.95 
13,1901,1,4.88 
14,1901,2,3.83 
15,1901,3,9.09 
16,1901,4,12.05 
17,1901,5,17.27 
18,1901,6,21.92 
19,1901,7,25.29 
20,1901,8,24.10 
21,1901,9,20.02 
22,1901,10,15.83 
23,1901,11,9.33 
24,1901,12,4.69 
25,1902,1,3.68 
26,1902,2,4.16 
27,1902,3,9.41 
28,1902,4,13.20 
29,1902,5,18.26 
30,1902,6,21.74 
31,1902,7,23.63 
32,1902,8,23.19 
33,1902,9,20.03 
34,1902,10,15.52 
35,1902,11,11.09 
36,1902,12,4.69 
37,1903,1,4.38 
38,1903,2,4.15 
39,1903,3,10.36 
40,1903,4,12.81 
41,1903,5,17.61 
42,1903,6,20.30 
43,1903,7,23.44 
44,1903,8,23.09 
45,1903,9,20.06 
46,1903,10,15.37 
47,1903,11,9.25 
48,1903,12,4.00 
49,1904,1,2.54 
50,1904,2,4.86 
51,1904,3,9.69 
52,1904,4,12.41 
53,1904,5,17.96 
54,1904,6,21.52 
55,1904,7,23.11 
56,1904,8,23.05 
57,1904,9,20.93 
58,1904,10,15.19 
59,1904,11,10.05 
60,1904,12,4.71 
61,1905,1,3.01 
62,1905,2,2.82 
63,1905,3,10.75 
64,1905,4,13.14 
65,1905,5,17.47 
66,1905,6,21.55 
67,1905,7,23.52 
68,1905,8,23.55 
69,1905,9,21.01 
70,1905,10,14.90 
71,1905,11,9.86 
72,1905,12,4.75 
73,1906,1,5.78 
74,1906,2,5.88 
75,1906,3,7.14 
76,1906,4,13.73 
77,1906,5,17.40 
78,1906,6,21.62 
79,1906,7,23.89 
80,1906,8,23.82 
81,1906,9,21.45 
82,1906,10,14.97 
83,1906,11,9.43 
84,1906,12,6.18 
85,1907,1,5.44 
86,1907,2,6.19 
87,1907,3,11.15 
88,1907,4,11.81 
89,1907,5,15.87 
90,1907,6,20.34 
91,1907,7,23.89 
92,1907,8,23.07 
93,1907,9,20.48 
94,1907,10,14.75 
95,1907,11,9.45 
96,1907,12,6.24 
97,1908,1,5.04 
98,1908,2,4.76 
99,1908,3,10.82 
100,1908,4,14.27 
101,1908,5,17.24 
102,1908,6,21.07 
103,1908,7,24.16 
104,1908,8,23.17 
105,1908,9,20.83 
106,1908,10,14.41 
107,1908,11,10.14 
108,1908,12,5.63 
109,1909,1,5.85 
110,1909,2,6.65 
111,1909,3,8.53 
112,1909,4,13.12 
113,1909,5,16.81 
114,1909,6,21.88 
115,1909,7,23.50 
116,1909,8,23.80 
117,1909,9,20.19 
118,1909,10,14.57 
119,1909,11,11.48 
120,1909,12,2.56 
121,1910,1,3.96 
