,year,season,temp
1,1900,Winter,5.43 
2,1900,Spring,13.39 
3,1900,Summer,23.49 
4,1900,Autumn,16.16 
5,1901,Winter,4.47 
6,1901,Spring,12.81 
7,1901,Summer,23.77 
8,1901,Autumn,15.06 
9,1902,Winter,4.18 
10,1902,Spring,13.62 
11,1902,Summer,22.85 
12,1902,Autumn,15.55 
13,1903,Winter,4.18 
14,1903,Spring,13.60 
15,1903,Summer,22.28 
16,1903,Autumn,14.89 
17,1904,Winter,4.04 
18,1904,Spring,13.35 
19,1904,Summer,22.56 
20,1904,Autumn,15.39 
21,1905,Winter,3.53 
22,1905,Spring,13.78 
23,1905,Summer,22.87 
24,1905,Autumn,15.26 
25,1906,Winter,5.95 
26,1906,Spring,12.76 
27,1906,Summer,23.11 
28,1906,Autumn,15.28 
29,1907,Winter,5.96 
30,1907,Spring,12.94 
31,1907,Summer,22.43 
32,1907,Autumn,14.89 
33,1908,Winter,5.15 
34,1908,Spring,14.11 
35,1908,Summer,22.80 
36,1908,Autumn,15.13 
37,1909,Winter,5.02 
38,1909,Spring,12.82 
39,1909,Summer,23.06 
40,1909,Autumn,15.41 
41,1910,Winter,4.24 
42,1910,Spring,14.71 
43,1910,Summer,22.90 
44,1910,Autumn,15.53 
45,1911,Winter,5.92 
46,1911,Spring,13.66 
47,1911,Summer,23.23 
48,1911,Autumn,14.97 
49,1912,Winter,3.96 
50,1912,Spring,12.60 
51,1912,Summer,22.43 
52,1912,Autumn,15.23 
53,1913,Winter,5.17 
54,1913,Spring,13.22 
55,1913,Summer,23.26 
56,1913,Autumn,15.56 
57,1914,Winter,4.38 
58,1914,Spring,13.42 
59,1914,Summer,23.23 
60,1914,Autumn,15.67 
61,1915,Winter,5.25 
62,1915,Spring,12.78 
63,1915,Summer,22.42 
64,1915,Autumn,15.85 
65,1916,Winter,4.89 
66,1916,Spring,13.28 
67,1916,Summer,22.84 
68,1916,Autumn,14.55 
69,1917,Winter,4.04 
70,1917,Spring,11.87 
71,1917,Summer,23.09 
72,1917,Autumn,14.71 
73,1918,Winter,4.41 
74,1918,Spring,13.94 
75,1918,Summer,23.53 
76,1918,Autumn,15.13 
77,1919,Winter,4.77 
78,1919,Spring,13.32 
79,1919,Summer,23.23 
80,1919,Autumn,15.41 
81,1920,Winter,4.81 
82,1920,Spring,12.54 
