"","City","lat","long"
"1","Abilene",32.95,-100.53
"2","Akron",40.99,-80.95
"3","Albuquerque",34.56,-107.03
"4","Alexandria",39.38,-76.99
"5","Allentown",40.99,-74.56
"6","Amarillo",34.56,-101.19
"7","Anaheim",32.95,-117.77
"8","Ann Arbor",42.59,-82.91
"9","Antioch",37.78,-122.03
"10","Arlington",32.95,-96.7
"11","Arlington",39.38,-76.99
"12","Arvada",39.38,-106.13
"13","Atlanta",34.56,-83.68
"14","Aurora",39.38,-104.05
"15","Aurora",40.99,-87.34
"16","Austin",29.74,-97.85
"17","Bakersfield",36.17,-119.34
"18","Baltimore",39.38,-76.99
"19","Baton Rouge",29.74,-90.46
"20","Beaumont",29.74,-94.15
"21","Bellevue",47.42,-121.97
"22","Berkeley",37.78,-122.03
"23","Birmingham",32.95,-87.13
"24","Boston",42.59,-72
"25","Bridgeport",40.99,-72.43
"26","Brownsville",26.52,-96.72
"27","Buffalo",42.59,-78.55
"28","Burbank",34.56,-118.7
"29","Cambridge",42.59,-72
"30","Cape Coral",26.52,-82.39
"31","Carrollton",32.95,-96.7
"32","Cary",36.17,-79.56
"33","Cedar Rapids",42.59,-91.64
"34","Chandler",32.95,-112.02
"35","Charleston",32.95,-79.47
"36","Charlotte",34.56,-81.73
"37","Chattanooga",34.56,-85.62
"38","Chesapeake",36.17,-75.58
"39","Chicago",42.59,-87.27
"40","Chula Vista",32.95,-117.77
"41","Cincinnati",39.38,-85.32
"42","Clarksville",36.17,-87.51
"43","Clearwater",28.13,-82.73
"44","Cleveland",40.99,-80.95
"45","Colorado Springs",39.38,-104.05
"46","Columbia",34.56,-81.73
"47","Columbus",32.95,-85.21
"48","Columbus",39.38,-83.24
"49","Concord",37.78,-122.03
"50","Coral Springs",26.52,-80.6
"51","Corona",32.95,-117.77
"52","Corpus Christi",28.13,-97.27
"53","Costa Mesa",32.95,-117.77
"54","Dallas",32.95,-96.7
"55","Dayton",39.38,-83.24
"56","Denton",32.95,-96.7
"57","Denver",39.38,-104.05
"58","Des Moines",40.99,-93.73
"59","Detroit",42.59,-82.91
"60","Downey",34.56,-118.7
"61","Durham",36.17,-79.56
"62","East Los Angeles",34.56,-118.7
"63","Edison",40.99,-74.56
"64","El Monte",34.56,-118.7
"65","El Paso",31.35,-105.55
"66","Elizabeth",40.99,-74.56
"67","Escondido",32.95,-117.77
"68","Eugene",44.2,-122.98
"69","Evansville",37.78,-87.46
"70","Fairfield",37.78,-122.03
