,month,City,temp
1,1,Boston,-5.56 
2,1,Chicago,-0.55 
3,1,Los Angeles,9.14 
4,1,New York,-2.79 
5,1,Seattle,0.63 
6,2,Boston,-4.72 
7,2,Chicago,0.03 
8,2,Los Angeles,10.28 
9,2,New York,-2.00 
10,2,Seattle,2.14 
11,3,Boston,0.65 
12,3,Chicago,3.68 
13,3,Los Angeles,11.90 
14,3,New York,3.10 
15,3,Seattle,3.94 
16,4,Boston,6.89 
17,4,Chicago,7.42 
18,4,Los Angeles,13.92 
19,4,New York,9.08 
20,4,Seattle,6.42 
21,5,Boston,13.32 
22,5,Chicago,11.85 
23,5,Los Angeles,16.90 
24,5,New York,15.11 
25,5,Seattle,9.85 
26,6,Boston,18.22 
27,6,Chicago,17.62 
28,6,Los Angeles,20.37 
29,6,New York,19.92 
30,6,Seattle,12.70 
31,7,Boston,21.07 
32,7,Chicago,22.15 
33,7,Los Angeles,23.87 
34,7,New York,22.65 
35,7,Seattle,15.46 
36,8,Boston,19.82 
37,8,Chicago,22.59 
38,8,Los Angeles,23.82 
39,8,New York,21.54 
40,8,Seattle,15.44 
41,9,Boston,15.59 
42,9,Chicago,19.04 
43,9,Los Angeles,21.54 
44,9,New York,17.64 
45,9,Seattle,12.67 
46,10,Boston,9.38 
47,10,Chicago,13.15 
48,10,Los Angeles,17.17 
49,10,New York,11.28 
50,10,Seattle,8.13 
51,11,Boston,3.46 
52,11,Chicago,7.20 
53,11,Los Angeles,12.90 
54,11,New York,5.40 
55,11,Seattle,3.88 
56,12,Boston,-3.17 
57,12,Chicago,1.55 
58,12,Los Angeles,9.50 
59,12,New York,-0.76 
60,12,Seattle,1.26 
