,date,year,month,AverageTemperature,AverageTemperatureUncertainty,City,lat,long
1,1900-01-01,1900,1,6.76 ,0.453,Abilene,32.95,-100.53
2,1900-02-01,1900,2,6.01 ,1.028,Abilene,32.95,-100.53
3,1900-03-01,1900,3,11.90 ,0.323,Abilene,32.95,-100.53
4,1900-04-01,1900,4,15.65 ,0.415,Abilene,32.95,-100.53
5,1900-05-01,1900,5,20.39 ,0.379,Abilene,32.95,-100.53
6,1900-06-01,1900,6,26.25 ,0.653,Abilene,32.95,-100.53
7,1900-07-01,1900,7,26.52 ,0.464,Abilene,32.95,-100.53
8,1900-08-01,1900,8,26.45 ,0.433,Abilene,32.95,-100.53
9,1900-09-01,1900,9,24.42 ,0.493,Abilene,32.95,-100.53
10,1900-10-01,1900,10,18.26 ,0.455,Abilene,32.95,-100.53
11,1900-11-01,1900,11,11.42 ,0.573,Abilene,32.95,-100.53
12,1900-12-01,1900,12,6.69 ,0.788,Abilene,32.95,-100.53
13,01/01/10,1910,1,6.82 ,0.434,Abilene,32.95,-100.53
14,02/01/10,1910,2,5.59 ,0.847,Abilene,32.95,-100.53
15,03/01/10,1910,3,15.47 ,0.902,Abilene,32.95,-100.53
16,04/01/10,1910,4,17.37 ,0.69,Abilene,32.95,-100.53
17,05/01/10,1910,5,20.66 ,0.307,Abilene,32.95,-100.53
18,06/01/10,1910,6,26.92 ,0.63,Abilene,32.95,-100.53
19,07/01/10,1910,7,28.92 ,0.369,Abilene,32.95,-100.53
20,08/01/10,1910,8,28.36 ,0.446,Abilene,32.95,-100.53
21,09/01/10,1910,9,25.72 ,0.518,Abilene,32.95,-100.53
22,10/01/10,1910,10,17.20 ,0.372,Abilene,32.95,-100.53
23,11/01/10,1910,11,11.77 ,0.548,Abilene,32.95,-100.53
24,12/01/10,1910,12,6.43 ,0.528,Abilene,32.95,-100.53
25,01/01/20,1920,1,4.10 ,0.502,Abilene,32.95,-100.53
26,02/01/20,1920,2,8.32 ,0.597,Abilene,32.95,-100.53
27,03/01/20,1920,3,11.33 ,0.634,Abilene,32.95,-100.53
28,04/01/20,1920,4,15.32 ,0.876,Abilene,32.95,-100.53
29,05/01/20,1920,5,21.34 ,0.472,Abilene,32.95,-100.53
30,06/01/20,1920,6,24.35 ,0.407,Abilene,32.95,-100.53
31,07/01/20,1920,7,27.70 ,0.424,Abilene,32.95,-100.53
32,08/01/20,1920,8,24.31 ,0.454,Abilene,32.95,-100.53
33,09/01/20,1920,9,23.52 ,0.536,Abilene,32.95,-100.53
34,10/01/20,1920,10,18.00 ,0.353,Abilene,32.95,-100.53
35,11/01/20,1920,11,9.12 ,0.583,Abilene,32.95,-100.53
36,12/01/20,1920,12,6.34 ,0.759,Abilene,32.95,-100.53
37,01/01/30,1930,1,-0.57 ,0.561,Abilene,32.95,-100.53
38,02/01/30,1930,2,11.52 ,0.541,Abilene,32.95,-100.53
39,03/01/30,1930,3,10.34 ,0.333,Abilene,32.95,-100.53
40,04/01/30,1930,4,20.03 ,0.684,Abilene,32.95,-100.53
41,05/01/30,1930,5,21.03 ,0.441,Abilene,32.95,-100.53
42,06/01/30,1930,6,25.60 ,0.38,Abilene,32.95,-100.53
43,07/01/30,1930,7,28.39 ,0.588,Abilene,32.95,-100.53
44,08/01/30,1930,8,28.10 ,0.651,Abilene,32.95,-100.53
45,09/01/30,1930,9,25.54 ,0.328,Abilene,32.95,-100.53
46,10/01/30,1930,10,16.56 ,0.357,Abilene,32.95,-100.53
47,11/01/30,1930,11,10.80 ,0.225,Abilene,32.95,-100.53
48,12/01/30,1930,12,4.84 ,0.34,Abilene,32.95,-100.53
49,01/01/40,1940,1,1.01 ,0.404,Abilene,32.95,-100.53
50,02/01/40,1940,2,7.38 ,0.306,Abilene,32.95,-100.53
51,03/01/40,1940,3,13.52 ,0.399,Abilene,32.95,-100.53
52,04/01/40,1940,4,16.81 ,0.366,Abilene,32.95,-100.53
53,05/01/40,1940,5,21.74 ,0.192,Abilene,32.95,-100.53
54,06/01/40,1940,6,24.01 ,0.38,Abilene,32.95,-100.53
55,07/01/40,1940,7,27.87 ,0.465,Abilene,32.95,-100.53
56,08/01/40,1940,8,26.35 ,0.326,Abilene,32.95,-100.53
57,09/01/40,1940,9,23.64 ,0.278,Abilene,32.95,-100.53
58,10/01/40,1940,10,19.01 ,0.245,Abilene,32.95,-100.53
59,11/01/40,1940,11,9.90 ,0.273,Abilene,32.95,-100.53
60,12/01/40,1940,12,7.71 ,0.254,Abilene,32.95,-100.53
61,01/01/50,1950,1,7.58 ,0.512,Abilene,32.95,-100.53
62,02/01/50,1950,2,10.07 ,0.332,Abilene,32.95,-100.53
63,03/01/50,1950,3,11.82 ,0.343,Abilene,32.95,-100.53
64,04/01/50,1950,4,16.96 ,0.315,Abilene,32.95,-100.53
65,05/01/50,1950,5,21.44 ,0.25,Abilene,32.95,-100.53
66,06/01/50,1950,6,25.83 ,0.202,Abilene,32.95,-100.53
67,07/01/50,1950,7,26.22 ,0.327,Abilene,32.95,-100.53
68,08/01/50,1950,8,25.95 ,0.183,Abilene,32.95,-100.53
69,09/01/50,1950,9,22.34 ,0.344,Abilene,32.95,-100.53
